Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
di saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok ***,1,1,1,0,0,0,0,0,1,1,0,0
rt pengguna pengguna siapa yang telat memberi tau eluedan *** gue bergaul dengan cigax jifla calis sama siapa itu licew juga,0,1,0,0,0,0,0,0,0,0,0,0
41 kadang aku berpikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkalikali kadang aku merasa tuhan itu meninggalkan aku sendirian ketika orang tuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna aku itu akunnku tau matamu *** tapi dilihat dari mana itu aku,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna kaum *** kafir sudah kelihatan dongoknya dari awal tambah *** lagi haha,1,1,0,1,1,0,0,0,0,0,1,0
pengguna ya *** *** dan kawan kawan,1,1,0,1,0,0,0,0,1,0,1,0
deklarasi pilihan kepala daerah aman dan anti hoaks warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0
gue baru saja selesai rewatch aldnoah zero paling *** memang akhirnya 2 karakter utama cowoknya kena friendzone bro xd uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
nah admin belanja satu lagi port terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kau kau doket mana itu gerai rozak mertuaku taipan 2 depan kembar baby amp romantika bank islam senawang,0,0,0,0,0,0,0,0,0,0,0,0
pengguna enak lagi kalau sambil ***,0,1,0,0,0,0,0,0,0,0,0,0
setidaknya gue punya jari tengah buat kamu sebelum gue ukur nyali sama *** kamu,1,1,1,0,0,0,0,0,1,1,0,0
pengguna pengguna pengguna pengguna *** kaleng malu tidak bisa jawab pertanyaan kami dari 2 hari lalu nyungsep koe pengguna uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0
kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi pengguna,0,0,0,0,0,0,0,0,0,0,0,0
aktor huru hara 98 prabowo si ingin lengserkan pemerintahan jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0
pengguna bu guru enakan jadi *** atau guru sekolah dasar sihnkayaknya menikmati jadi *** ini guru,1,1,1,0,0,0,0,1,0,1,0,0
pengguna pengguna pengguna pengguna pengguna pengguna lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tentang kencing *** gue mengakui hadis nabi dan itu sahih *** kayak kamu pasti menolak makanya kamu ahlun nar,1,1,1,0,1,0,0,0,0,1,0,0
belakangan ini kok pikiran *** banget ya,0,0,0,0,0,0,0,0,0,0,0,0
ari sama beki adalah rapi,0,1,0,0,0,0,0,0,0,0,0,0
jadi cowok itu harus gantle kalau tidak gantle itu namanya ***,1,1,0,1,0,0,0,1,0,0,1,0
pengguna alga mnr bom,0,0,0,0,0,0,0,0,0,0,0,0
anjing ya tapi gue jarang mengambek takut wkwk gue kan budak cinta,0,1,0,0,0,0,0,0,0,0,0,0
pengguna kalau kamu *** pasti peluang disakiti nya lebih gede sih,0,0,0,0,0,0,0,0,0,0,0,0
pengguna joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak,0,0,0,0,0,0,0,0,0,0,0,0
pelajar sama kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah damai,0,0,0,0,0,0,0,0,0,0,0,0
bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat insya allah siap beroperasi bulan depan,0,0,0,0,0,0,0,0,0,0,0,0
siapapun gubernur dan presidennya rakyatnya ya kita juga,0,0,0,0,0,0,0,0,0,0,0,0
ini sih pengguna kerjaannya delay mulu ***,1,1,0,1,0,0,0,0,1,0,1,0
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget,0,0,0,0,0,0,0,0,0,0,0,0
rt pengguna pengguna pengguna partai komunis indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong,1,0,0,1,0,1,0,0,0,0,1,0
pengguna pengguna itu adalah sudah neneknenek saya heran sama *** biasanya bohong terus,1,1,1,0,0,0,0,0,1,1,0,0
pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna islam nusantara produk jil dipasarkan dengan gencar oleh antekxc2xb2 jilnnsementara jil anti arab tapi pro asengnnkata almarhum kh hasyim muzadi,1,0,0,1,1,0,0,0,0,0,1,0
dari habis sahur sampai jam 10 si bayi sudah *** empat kali sekarang rasanya lemas tak terkira,0,0,0,0,0,0,0,0,0,0,0,0
pengguna tidak kak emak adalah tidak suka sama yang *** wkwk,0,0,0,0,0,0,0,0,0,0,0,0
rt pengguna kelakuan homo jaman now *** saja sambil live di blued gay video gvid lokal hangat uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
pengguna tidak kak gue bukan orang jawa maaf ya gue orang palembang soalnya kakak saja deh yang belajar aksara jawa atau kelak mau belajar budaya palembang,0,0,0,0,0,0,0,0,0,0,0,0
pegawai guardian training lagi kayak mentang mentang gue kayak *** cuma kaos sama flat shoes bertanya dijutekin bangsat memang malas belinya juga kabur gue ke matahari,1,1,0,1,0,0,0,0,1,0,1,0
*** yang telah melukai lady harus menerima ganjaran seratus kali selamat ulang tahun pelaut jkt48,0,1,0,0,0,0,0,0,0,0,0,0
ajakan menolak berita hoaks dan sukseskan pilihan kepala daerah di wilayah kota kediri,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna presiden ri jokowi luar biasa kerja nya tulus ikhlas untuk rakyat bersama jokowi,0,0,0,0,0,0,0,0,0,0,0,0
*** memang tujuannya fabiano,0,1,0,0,0,0,0,0,0,0,0,0
tidak pernah mendalami alquran ya bang pantas saja mulutnya kayak orang *** *** *** farhat abbas law,1,1,1,0,1,0,1,0,0,1,0,0
sangat terlihat beda sekali kewibawaannya yang sangat berwibawa cuma gubernur indonesia pengguna masya allah,0,0,0,0,0,0,0,0,0,0,0,0
*** baru kali ini lihat orang *** mau debat pilihan kepala daerah kerjanya menyerang karakter kecewa on kamu empok silvy and agus debat final pemilihan kepala daerah jakarta,1,1,0,1,0,0,0,0,1,0,1,0
gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 rt pengguna keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan peserta rakercabsu,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna apa iya islam itu tidak boleh di lokalisasi lah kristen saja mas ada nusantaranya mas lihat saja di gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas sundajawa ada huria kristen batak protestan juga kurang nusantara apa,0,0,0,0,0,0,0,0,0,0,0,0
ciptakan situasi keamanan dan ketertiban masyarakat menjelang pilihan kepala daerah kepala kepolisian sektor konang silaturahmi ke tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna positif koknsepositif respon masyarakat terhadapn cangkul imporn garam imporn beras imporn jagung imporn tenaga kerja imporn esemka impornnurl,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna pengguna kata sembahyang mengadopsi tradisi lokal pada masa pekerjaan lahir dari tradisi yang tunggal sama menyembah all,0,0,0,0,0,0,0,0,0,0,0,0
kamu pendidikan tinggi tapi bodohgk ada larang bawa agamabiar orang islam yang di bayar ahok sadar tidak jadi memilih ahok gila,1,1,1,0,0,0,0,0,1,1,0,0
pengguna pengguna ahok the best abaikan kaum *** otak micin,1,1,0,1,0,0,0,0,1,0,1,0
pengguna pengguna sih otak tempurung adalah tidak usah di meladeni semakin di lawan semakin belum dan *** dan kalau tidak begitu dia tidak makan hehe,1,1,1,0,0,0,0,0,1,1,0,0
pengguna awaasss jangan sampai beritanya sampai ke saudara gerung nanti susah mencari kosakatanya kalau bocor saja memicing mata bibir monyong kesamping suara keluar ky lagi nhn kentut politik kotor sekali zaman ini kalau tahu brt ini pulang sambil ky nhn ngedendungu,1,1,1,0,0,0,1,0,0,1,0,0
pinokio umur 3 tahunan itu,1,0,1,0,0,0,0,0,1,1,0,0
pengguna cerita silat lae semacam kho merah muda oh yang dari indonesia tapi liang ie shen penulis dari cina,0,0,0,0,0,0,0,0,0,0,0,0
rt pengguna benci sekali dengan umat islam,1,0,0,1,1,0,0,0,0,0,1,0
